activity_clean,next_activity,count,median,mean,max
Turn the Machine On,Turn the Machine On,184,0.0011205,0.007291858695652174,0.066817
Show End,Show End,183,0.001819,0.008072732240437157,0.041186
Set the Sugar Amount for Size,Get the Environment Data,182,0.1292105,0.16173253846153846,2.142921
Initialize the sizes of the CC,Move to Position 1,176,0.046894000000000005,0.04779086931818182,0.089007
Clear,Show Header,176,0.0259635,0.02703424431818182,0.047878
external,Initialize the sizes of the CC,176,0.021968500000000002,0.30155682386363636,5.253998
Move down until touch,external,176,0.018797,0.7231238181818183,77.74574
Initialize the sizes of the CC,Initialize the sizes of the CC,176,0.00027150000000000004,0.0009654659090909092,0.0483
Move to Position 1,Move down until touch,176,0.037377999999999995,0.03942590909090909,0.082577
Init Frame,Clear,176,0.0280405,0.029568465909090905,0.064317
Get the Environment Data,Weigh the whole Cotton Candy,176,0.042365,0.11605851136363636,1.959719
Show Header,external,175,0.035275,0.035478291428571423,0.061044
Get the Plug Data,Measure the pressure of the three sides of the cotton candy,175,0.032945,0.1854822742857143,2.038005
Move down until touch,Move to Position 2,175,0.033498,0.03468694857142857,0.064864
Move to Position 2,Move down until touch,175,0.037658,0.03974105714285714,0.071368
Move to Position 3,Move down until touch,174,0.037111000000000005,0.0415873908045977,0.497375
Move down until touch,Move to Position 3,174,0.0332135,0.03522625287356322,0.072871
Get the Environment Data,Set the Stick Number,174,0.002739,0.036002971264367814,2.030982
Create Cotton Candy,external,172,0.0181165,0.09730431395348837,1.967593
Fill Machine with Sugar,Fill Machine with Sugar,171,0.001608,0.0069057017543859645,0.04317
external,Move to position 4,170,0.0157585,0.01654395882352941,0.034004
Initialize the max pressure of the CC,Initialize the max pressure of the CC,170,0.00028649999999999997,0.0007503058823529412,0.006486
external,Move to final position,170,0.015276999999999999,0.022238547058823527,0.999763
external,Move to Position 5,170,0.016302,0.017153711764705884,0.036117
external,Initialize the max pressure of the CC,170,0.03276,0.6164968647058824,2.031534
Weigh the whole Cotton Candy,Get the Environment Data,170,0.0362595,0.09637463529411765,2.067316
Move to final position,external,170,0.022336,0.02302633529411765,0.039456
Go to the next available Stick,external,169,0.022275,0.0348357573964497,2.022639
Go to the next available Stick,Go to the next available Stick,169,0.000155,0.00022382248520710059,0.001086
Call The Cottonbot with Data Collection,Go to the next available Stick,166,0.0285425,0.028987518072289158,0.042612
external,Initialize Vars,165,0.022076,0.24956856969696972,1.981493
Place Cotton Candy on Scale,CC_weight,165,0.036035,0.03846606060606061,0.076804
Set cooking time (Time Spinning),Set cooking time (Time Spinning),164,0.020515,0.054178542682926836,4.004673
Set the Sugar Amount for Size,Set the Sugar Amount for Size,164,0.017998,0.09765179268292684,4.125345
CUP_weight,Place Cotton Candy on Scale,164,0.03007,0.14862981097560976,13.86422
Initialize Vars,Initialize Vars,164,0.000234,0.0006107378048780487,0.005637
Set waiting time,Set waiting time,164,0.018846,0.041335329268292684,2.007396
Initialize Vars,CUP_weight,163,0.045662,0.04619893865030675,0.07485
Move to Position 5,Call weigh_max,162,0.050605,0.053836919753086424,0.108977
Set the Stick Number,Set the Stick Number,159,0.019026,0.025412842767295597,0.081259
Show Start,Show Start,159,0.00196,0.008012591194968555,0.047199
Place the Wood Stick in Center,Place the Wood Stick in Center,158,0.003143,0.01078810759493671,0.283448
Set the Stick Number,Get the Environment Data,157,0.086767,0.1333597006369427,2.123168
Set waiting time,Get the Environment Data,154,0.08589250000000001,0.10648105844155845,2.085871
Move to position 4,Call weigh_max,151,0.052643,0.05515482781456953,0.099488
Initialize the max pressure of the CC,Call weigh_max,150,0.066083,0.06703821333333333,0.110081
Measure the size of the Cotton Candy,Measure the pressure of the three sides of the cotton candy,145,0.033597,0.034446379310344825,0.049399
Get the Environment Data,Set waiting time,145,0.002786,0.03797195862068965,2.035136
Set the Sugar Amount for Size,Fill Machine with Sugar,143,0.02825,0.03166634265734265,0.061058
Remove Cotton Candy from Scale,Remove Cotton Candy from Scale,140,1.216423,6.625133192857143,14.905937
Measure the pressure of the three sides of the cotton candy,external,137,0.04582,0.18312339416058393,0.843467
Get the Plug Data,Set the Sugar Amount for Size,134,0.050811999999999996,0.3232127313432836,2.060074
Cools Down Machine,external,134,0.0038205,0.02554320149253731,1.011329
Set cooking time (Time Spinning),external,132,0.013932,0.01877168181818182,0.494639
Clear Button,external,132,0.0128585,0.03338965151515152,0.95338
Measure the pressure of the three sides of the cotton candy,Get the Environment Data,129,0.072894,0.17974954263565893,4.009871
Get the Environment Data,Set the Sugar Amount for Size,128,0.002027,0.020429671875000003,2.135532
Run until CC Head is optimally cooled,Wait 2 seconds,125,2.017749,2.019232984,2.044312
Set waiting time,external,124,0.018181,0.038288782258064515,2.031826
Show Start,Get the Environment Data,122,0.0157455,0.03754566393442623,0.243005
Get the Plug Data,Set waiting time,120,0.0203185,0.11457358333333333,2.029734
Sleep 1 Second,Wait until Head is optimally warm,120,1.013947,1.0325079833333333,2.023472
external,Measure the size of the Cotton Candy,120,0.015243,0.03373534166666667,0.497762
external,Cools Down Machine,118,0.0079495,0.021355338983050847,1.013493
Get the Plug Data,Set cooking time (Time Spinning),117,0.022614,0.2320318888888889,2.038553
Turn the Machine On,Show Start,115,0.001785,0.003974634782608696,0.029983
Show Start,external,115,0.018702,0.021685886956521738,0.08492
Fill Machine with Sugar,external,115,0.015231,0.019874721739130435,0.091639
Cools Down Machine,Cools Down Machine,114,0.0045015,0.005649087719298246,0.032641
Create Cotton Candy,Get the Environment Data,111,0.024441,0.09718272972972973,1.978284
Set the Stick Number,Place the Wood Stick in Center,108,0.02948,0.03505688888888889,0.081765
Show End,external,107,0.004262,0.015063616822429906,0.08751
Fill Machine with Sugar,Get the Plug Data,105,0.015765,0.042181247619047624,0.236591
Wait 2 seconds,Turn the Machine On,105,0.001626,0.00956547619047619,0.070348
external,Init Frame,104,0.0247215,0.026452125,0.050211
Weigh the whole Cotton Candy and Throw Away,external,104,0.1111915,0.3744676538461539,1.137041
Weigh the whole Cotton Candy,Get the Plug Data,104,0.048405000000000004,0.11159803846153847,3.973899
Show End,Get the Environment Data,103,0.00352,0.07249087378640777,1.996119
Get the Environment Data,Clear Button,100,0.010379,0.03090541,1.986887
Wait 2 seconds,Place the Wood Stick in Center,99,0.002256,0.01056058585858586,0.048071
Clear Button,Get the Environment Data,96,0.040107500000000004,0.09441675,2.05747
Show End,Clear Button,96,0.032160499999999995,0.03763347916666667,0.109417
CC_weight,external,95,0.016978,0.019127673684210526,0.036473
Fill Machine with Sugar,Turn the Machine On,95,0.050433,0.05442451578947368,0.093331
Wait 2 seconds,Set cooking time (Time Spinning),94,0.0034135,0.012767617021276595,0.052352
Cools Down and Turns Off Machine,external,92,0.0172215,0.01876854347826087,0.074889
Get the Plug Data,Set the Stick Number,92,0.023629499999999998,0.20093332608695655,4.053263
Measure the size of the Cotton Candy,external,90,0.048445,0.18258696666666666,2.040113
Measure the pressure of the three sides of the cotton candy,Weigh the whole Cotton Candy,90,0.033817,0.0359375,0.125835
Initialize Time,Initialize Time,90,0.00022,0.0005050333333333334,0.004844
Wait 2 seconds,Show Start,90,0.0015865,0.031160266666666665,2.061929
Set cooking time (Time Spinning),Get the Plug Data,88,0.0082745,0.01817989772727273,0.259221
Sleep 1 Second,Run until CC Head is optimally warm,87,1.015212,1.0169570459770114,1.038315
Cools Down and Turns Off Machine,Cools Down and Turns Off Machine,87,0.001847,0.006534563218390805,0.039042
Get the Environment Data,Set cooking time (Time Spinning),86,0.0026005000000000004,0.06769543023255814,2.013929
Place the Wood Stick in Center,Get the Plug Data,85,0.008669,0.03112334117647059,1.017781
Set cooking time (Time Spinning),Get the Environment Data,84,0.0826115,0.07468296428571428,0.21044
Wait 2 seconds,Show End,83,0.002476,0.011300867469879518,0.085476
Set cooldown time,Get the Environment Data,83,0.002239,0.016394626506024097,0.254967
Get the Plug Data,Weigh the whole Cotton Candy,82,0.0246655,0.23681529268292684,2.031747
Get the Environment Data,Turn the Machine On,81,0.002221,0.08344572839506173,2.020781
Wait 2 seconds,Create Cotton Candy,81,0.019513,0.014513074074074074,0.037208
Initialize Time,Get the Environment Data,81,0.043318,0.04263516049382716,0.064944
external,Initialize Time,79,0.0165,0.029085316455696203,0.919232
Show Start,Show End,79,0.036757,0.04121410126582279,0.093697
external,Set the Stick Number,78,0.0073265,0.009840128205128206,0.056869
