activity_clean,next_activity,count,median,mean,max
Set cooking time (Time Spinning),Wait 2 seconds,15,0.018483,0.9415648666666667,2.037805
Get the Plug Data,Heat up Head,15,0.028768,0.22609013333333333,1.02883
external,Call The Cottonbot with Data Collection,14,0.10395099999999999,0.7697530714285714,2.534427
Turn the Machine On,Wait 2 seconds,14,0.0005305,0.000601,0.001116
Show End,Wait 2 seconds,14,0.001294,0.7124692142857142,2.038353
Get the Plug Data,Clear Button,14,0.026525,0.5863882142857142,3.988079
Measure the size of the Cotton Candy,Wait 2 seconds,14,2.0065875,1.7193327142857144,2.056995
Get the Environment Data,Heat up Head,14,0.009263500000000001,0.018373499999999997,0.06446
Create Cotton Candy,Change to Time,13,0.024758,0.025224384615384617,0.030416
external,Weigh the whole Cotton Candy and Throw Away,13,0.097167,0.097169,0.18987
external,Weigh the whole Cotton Candy,13,0.023586,0.022533461538461537,0.050979
external,Send UUID to registry,12,0.0451685,0.04591758333333334,0.055461
Fill Machine with Sugar,Sleep 1 Second,11,0.964283,0.705216,0.980934
Sleep 1 Second,Set the Stick Number,11,0.001115,0.0047862727272727276,0.022395
Send UUID to registry,Initialize Time,11,0.0232,0.023750454545454547,0.028561
external,Start Cooking Time,11,0.016893,0.019204181818181818,0.036334
Show Start,Sleep 1 Second,10,0.48244899999999996,0.49128340000000004,1.012864
Get the Environment Data,Wait 2 seconds,9,4.615922,4.818702222222222,5.420217
Initialize Time,Init Frame,9,0.045547,0.04873488888888889,0.061549
Turn the Machine On,Sleep 1 Second,9,0.000706,0.11327333333333331,1.007035
Weigh the whole Cotton Candy and Throw Away,Sleep 1 Second,9,1.007322,0.8924148888888889,1.060919
Cools Down and Turns Off Machine,Wait 2 seconds,8,1.9989765,1.7543814999999998,5.972402
Wait 2 seconds,Turns Off Machine,8,0.0024295000000000002,0.010460750000000001,0.030436
Create Cotton Candy,Show End,8,0.1332335,0.16268612500000001,0.440814
Move to Position 5,Move down and get function,8,0.048323000000000005,0.048296,0.053575
Weigh the whole Cotton Candy,Cools Down Machine,7,0.039837,0.04123885714285714,0.050045
Calculate Differences,Measure the size of the Cotton Candy,7,0.029526,0.030223142857142858,0.032639
Show as timestamps,Get the Environment Data,7,0.000882,0.008475,0.027722
Calculate Differences,Calculate Differences,7,0.000151,0.00041585714285714284,0.001434
Wait 2 seconds,Clear Button,7,0.030621,0.030827142857142855,0.051263
Turn the Machine On,Set the Stick Number,7,0.043713,0.04982557142857143,0.071607
Set the Sugar Amount for Size,Sleep 1 Second,6,0.0005729999999999999,0.0006438333333333334,0.00119
Get the Environment Data,Show as timestamps,6,0.001089,0.010442,0.041595
Heat up Head,Get the Plug Data,6,0.0012765,0.008987333333333333,0.048046
external,Stop Time,6,0.020886000000000002,0.019605333333333332,0.023309
external,Calculate Differences,6,0.010350499999999999,0.011155499999999999,0.015636
external,Set cooldown time,6,0.0004475,0.0059496666666666665,0.017634
Set the Sugar Amount for Size,Wait 2 seconds,5,0.000726,0.004367,0.019302
Show End,Sleep 1 Second,5,0.977004,0.9894662000000001,1.029595
Set cooldown time,Wait 2 seconds,4,0.0007700000000000001,1.15576325,4.621156
Clear Button,Wait 2 seconds,4,2.000407,1.50907825,2.033528
Start Cooking Time,Get the Environment Data,4,0.000239,0.00039925,0.001046
Fill Machine with Sugar,Show Start,4,0.046289,0.0482085,0.056144
Turns Off Machine,Wait 2 seconds,4,1.9979925,2.00312625,2.026858
Turns Off Machine,Stop Time,4,0.0372285,0.03830825,0.055434
Move down and get function,external,3,0.024421,0.027553666666666667,0.041002
Clear Button,Create Cotton Candy,3,0.0011,0.0012993333333333335,0.002527
Run until CC Head is optimally warm,Show Start,3,0.029245,0.028749999999999998,0.033975
Heat up Head,Sleep 1 Second,3,0.000626,0.0012183333333333334,0.002468
Show End,Create Cotton Candy,3,0.013804,0.016436666666666665,0.02203
Show End,Run until CC Head is optimally warm,3,0.979044,0.978666,0.989387
Get the Plug Data,Show as timestamps,3,0.019027,0.019497,0.021413
Sleep 1 Second,Start Cooking Time,3,0.029666,0.030897333333333336,0.036339
Get the Environment Data,Change to Time,3,0.029323,0.022772,0.030352
Create Cotton Candy,Clear Button,3,0.027378,0.027767666666666666,0.030397
external,Go to the next available Stick,3,0.014897,0.016035,0.020153
Start Cooking Time,external,3,0.024253,0.02421066666666667,0.031157
Stop Time,external,3,0.016526,0.016174333333333332,0.017475
Get the Plug Data,Calculate Times & Differences,3,0.018831,0.019981333333333334,0.022504
Calculate Times & Differences,Get the Plug Data,3,0.020016,0.021965,0.026624
Stop Time,Get the Plug Data,2,0.028053,0.028053,0.039902
external,weigh_touch,2,0.8075570000000001,0.8075570000000001,0.978634
Start Cooking Time,Get the Plug Data,2,0.0272045,0.0272045,0.037696
Cools Down Machine,Wait 2 seconds,2,2.0142615,2.0142615,2.015033
Calculate Times & Differences,Get the Environment Data,2,0.0159755,0.0159755,0.025585
Set the Stick Number,Wait 2 seconds,2,0.000521,0.000521,0.000789
Show Start,Set the Stick Number,2,0.0014085,0.0014085,0.002504
Initialize Vars,Place Cotton Candy on Scale,1,13.735291,13.735291,13.735291
Get the Environment Data,Calculate Differences,1,0.013396,0.013396,0.013396
Initialize Vars,external,1,45.444147,45.444147,45.444147
Get the Plug Data,Change to Time,1,0.015333,0.015333,0.015333
Get the Environment Data,Calculate Times & Differences,1,0.001265,0.001265,0.001265
Heat up Head,Cools Down Machine,1,0.058004,0.058004,0.058004
Move down,external,1,0.018868,0.018868,0.018868
Get the Plug Data,Get the Environment Data,1,4.517499,4.517499,4.517499
Get the Plug Data,Stop Time,1,0.025072,0.025072,0.025072
Calculate Times & Differences,Sleep 1 Second,1,1.004659,1.004659,1.004659
Clear Button,Show End,1,0.00582,0.00582,0.00582
Sleep 1 Second,Calculate Times & Differences,1,0.031029,0.031029,0.031029
Calculate Times & Differences,external,1,0.018393,0.018393,0.018393
Wait 2 seconds,Wait 2 seconds,1,4.633246,4.633246,4.633246
Wait 2 seconds,Cools Down Machine,1,0.001268,0.001268,0.001268
Turn the Machine On,Show End,1,0.000897,0.000897,0.000897
Sleep 1 Second,Stop Time,1,0.035587,0.035587,0.035587
Sleep 1 Second,Show as timestamps,1,0.022054,0.022054,0.022054
Show Start,Run until CC Head is optimally warm,1,0.995313,0.995313,0.995313
Place the Wood Stick in Center,Show End,1,0.013621,0.013621,0.013621
Show Header,Get the Plug Data,1,6.376504,6.376504,6.376504
Show End,Show Start,1,0.001879,0.001879,0.001879
external,CUP_weight,1,0.028614,0.028614,0.028614
Set the Stick Number,Show Start,1,0.023639,0.023639,0.023639
Send UUID to registry,Initialize the Start position of the first Stick (0 for the first,1,0.028339,0.028339,0.028339
Change to Time,Get the Environment Data,1,0.000896,0.000896,0.000896
Set the Stick Number,Sleep 1 Second,1,1.001205,1.001205,1.001205
