dbscan_cluster,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
-1,14,0,1,0,2,1,1,0,1,2,1,1,0,0,1,1
0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
